Date - Time (Philippine Time),Latitude (ºN),Longitude (ºE),Depth (km),Magnitude,Location
22 May 2024 - 04:15 AM,19.08,121.18,8,2.6,004 km S 34° W of Dalupiri Island (Calayan) (Cagayan)
22 May 2024 - 03:35 AM,8.79,126.48,24,2.4,020 km S 87° E of Marihatag (Surigao Del Sur)
22 May 2024 - 03:34 AM,8.04,127.31,1,2.8,097 km N 58° E of Baganga (Davao Oriental)
22 May 2024 - 02:41 AM,7.33,125.67,13,2.4,005 km N 09° W of City Of Panabo (Davao Del Norte)
22 May 2024 - 02:39 AM,10.85,125.32,1,2.1,029 km S 15° W of Balangiga (Eastern Samar)
22 May 2024 - 02:32 AM,4.39,125.72,33,2.3,118 km S 16° E of Balut Island (Municipality Of Sarangani) (Davao Occidental)
22 May 2024 - 02:28 AM,10.19,125.97,24,1.9,020 km N 21° W of Santa Monica (Surigao Del Norte)
22 May 2024 - 02:19 AM,16.43,120.83,2,2.4,006 km S 01° W of Bokod (Benguet)
22 May 2024 - 01:39 AM,9.32,126.5,9,2.3,034 km N 82° E of Cortes (Surigao Del Sur)
22 May 2024 - 01:33 AM,6.2,126.53,63,2.3,071 km S 45° E of Governor Generoso (Davao Oriental)
22 May 2024 - 01:27 AM,7.33,124.35,35,1.5,008 km N 64° E of Sultan Mastura (Maguindanao Del Norte)
22 May 2024 - 01:15 AM,11.19,122.62,33,1.5,008 km N 17° W of City Of Passi (Iloilo)
22 May 2024 - 01:05 AM,8.74,126.61,27,2.5,034 km S 79° E of Marihatag (Surigao Del Sur)
